TF,Target,Regulation
LeuO,bglJ,+
ComR,bhsA,-
CRP,bhsA,-
BirA,bioA,-
BirA,bioB,-
BirA,bioC,-
BirA,bioD,-
BirA,bioF,-
RcdA,bluF,+
H-NS,bolA,-
OmpR,bolA,-
PhoP,borD,+
GadX,btuB,-
ArcA,cadA,-
CadC,cadA,+
GadE-RcsB,cadA,+
GadX,cadA,+
H-NS,cadA,-
Lrp,cadA,+
ArcA,cadB,-
CadC,cadB,+
GadE-RcsB,cadB,+
GadX,cadB,+
H-NS,cadB,-
Lrp,cadB,+
FNR,CadC,+
H-NS,CadC,-
LeuO,CadC,-
MlrA,CadC,+
ArcA,caiA,+
CaiF,caiA,+
CRP,caiA,+
FNR,caiA,+
H-NS,caiA,-
ArcA,caiB,+
CaiF,caiB,+
CRP,caiB,+
FNR,caiB,+
H-NS,caiB,-
ArcA,caiC,+
CaiF,caiC,+
CRP,caiC,+
FNR,caiC,+
H-NS,caiC,-
ArcA,caiD,+
CaiF,caiD,+
CRP,caiD,+
FNR,caiD,+
H-NS,caiD,-
ArcA,caiE,+
CaiF,caiE,+
CRP,caiE,+
FNR,caiE,+
H-NS,caiE,-
CRP,CaiF,+
FNR,CaiF,+
H-NS,CaiF,-
NarL,CaiF,-
ArcA,caiT,+
CaiF,caiT,+
CRP,caiT,+
FNR,caiT,+
H-NS,caiT,-
ArgR,carA,-
Fis,carA,+
PepA,carA,-
PurR,carA,-
RutR,carA,+
ArgR,carB,-
Fis,carB,+
PepA,carB,-
PurR,carB,-
RutR,carB,+
CRP,cas1,-
H-NS,cas1,-
LeuO,cas1,+
CRP,cas2,-
H-NS,cas2,-
LeuO,cas2,+
CRP,casA,-
H-NS,casA,-
LeuO,casA,+
CRP,casB,-
H-NS,casB,-
LeuO,casB,+
CRP,casC,-
H-NS,casC,-
LeuO,casC,+
CRP,casD,-
H-NS,casD,-
LeuO,casD,+
CRP,casE,-
H-NS,casE,-
LeuO,casE,+
CysB,Cbl,+
NtrC,Cbl,+
Fis,cbpA,-
Fis,cbpM,-
