TF,Target,Regulation
AdiY,gadA,+
ArcA,gadA,+
CRP,gadA,-
Fis,gadA,-
FNR,gadA,-
GadE-RcsB,gadA,+
GadX,gadA,+
H-NS,gadA,-
RcsB,gadA,-
TorR,gadA,-
AdiY,gadB,+
CRP,gadB,-
Fis,gadB,-
FliZ,gadB,-
GadE,gadB,+
GadX,gadB,+
RcsB,gadB,+
AdiY,gadC,+
CRP,gadC,-
Fis,gadC,-
FliZ,gadC,-
GadE,gadC,+
GadX,gadC,+
RcsB,gadC,+
ArcA,GadE,+
CRP,GadE,-
EvgA,GadE,+
FliZ,GadE,-
GadW,GadE,+
GadX,GadE,+
H-NS,GadE,-
PhoP,GadE,+
YdeO,GadE,+
FNR,GadW,-
GadE,GadW,+
GadX,GadW,-
GadX,GadW,+
H-NS,GadW,-
PhoB,GadW,+
PhoP,GadW,+
RutR,GadW,-
SdiA,GadW,+
YdeO,GadW,+
AdiY,GadX,+
ArcA,GadX,+
CRP,GadX,-
Fis,GadX,-
FNR,GadX,-
GadE,GadX,+
GadE-RcsB,GadX,+
GadW,GadX,-
H-NS,GadX,-
PhoB,GadX,+
RcsB,GadX,-
RutR,GadX,-
TorR,GadX,-
GadW,gadY,-
GadX,gadY,+
RcsB,gadY,+
CRP,galE,+
CRP,galE,-
GalR,galE,-
GalR,galE,+
GalS,galE,-
GalS,galE,+
H-NS,galE,-
HU,galE,-
CRP,galK,+
CRP,galK,-
GalR,galK,-
GalR,galK,+
GalS,galK,+
GalS,galK,-
H-NS,galK,-
HU,galK,-
CRP,galM,-
CRP,galM,+
GalR,galM,-
GalR,galM,+
GalS,galM,+
GalS,galM,-
H-NS,galM,-
HU,galM,-
CRP,galP,+
GalR,galP,-
GalS,galP,-
NagC,galP,-
GalS,GalR,-
CRP,GalS,+
GalR,GalS,-
CRP,galT,+
CRP,galT,-
GalR,galT,-
GalR,galT,+
GalS,galT,+
GalS,galT,-
H-NS,galT,-
HU,galT,-
Cra,gapA,-
CRP,gapA,+
CdaR,garD,+
CdaR,garK,+
FNR,garK,+
Fur,garK,-
H-NS,garK,-
CdaR,garL,+
FNR,garL,+
Fur,garL,-
H-NS,garL,-
CdaR,garP,+
FNR,garP,+
Fur,garP,-
H-NS,garP,-
CdaR,garR,+
FNR,garR,+
Fur,garR,-
H-NS,garR,-
ArcA,gatA,-
CRP,gatA,+
GatR,gatA,-
ArcA,gatB,-
CRP,gatB,+
GatR,gatB,-
ArcA,gatC,-
CRP,gatC,+
GatR,gatC,-
ArcA,gatD,-
CRP,gatD,+
GatR,gatD,-
ArcA,gatY,-
CRP,gatY,+
GatR,gatY,-
ArcA,gatZ,-
CRP,gatZ,+
GatR,gatZ,-
CRP,gcd,-
IHF,gcd,+
AllR,gcl,-
GcvA,gcvB,+
CRP,gcvH,+
FNR,gcvH,+
GcvA,gcvH,-
Lrp,gcvH,+
PurR,gcvH,-
CRP,gcvP,+
FNR,gcvP,+
GcvA,gcvP,-
Lrp,gcvP,+
PurR,gcvP,-
CRP,gcvT,+
FNR,gcvT,+
GcvA,gcvT,-
Lrp,gcvT,+
PurR,gcvT,-
ArgP,gdhA,+
CRP,gdhA,-
FNR,gdhA,+
Nac,gdhA,-
YjjQ,gfcA,-
ArcA,glcA,-
GlcC,glcA,+
IHF,glcA,+
PdhR,glcA,-
ArcA,glcB,-
GlcC,glcB,+
IHF,glcB,+
PdhR,glcB,-
Cra,GlcC,-
CRP,GlcC,+
Fis,GlcC,-
ArcA,glcD,-
GlcC,glcD,+
IHF,glcD,+
PdhR,glcD,-
ArcA,glcE,-
GlcC,glcE,+
IHF,glcE,+
PdhR,glcE,-
ArcA,glcF,-
GlcC,glcF,+
IHF,glcF,+
PdhR,glcF,-
ArcA,glcG,-
GlcC,glcG,+
IHF,glcG,+
PdhR,glcG,-
CRP,glgA,+
PhoP,glgA,+
PhoP,glgB,+
CRP,glgC,+
PhoP,glgC,+
CRP,glgP,+
PhoP,glgP,+
CRP,glgS,+
PhoP,glgX,+
Cra,glk,-
NagC,glmS,-
NagC,glmS,+
NagC,glmU,-
NagC,glmU,+
GlrR,glmY,+
IHF,glmY,+
CRP,glnA,-
CRP,glnA,+
Fis,glnA,+
NtrC,glnA,-
NtrC,glnA,+
PurR,glnB,-
Fur,glnD,-
CRP,glnG,+
CRP,glnG,-
Fis,glnG,+
NtrC,glnG,-
NtrC,glnG,+
IHF,glnH,+
NtrC,glnH,-
NtrC,glnH,+
GadX,glnK,+
NtrC,glnK,+
CRP,glnL,+
CRP,glnL,-
Fis,glnL,+
NtrC,glnL,+
NtrC,glnL,-
IHF,glnP,+
NtrC,glnP,-
NtrC,glnP,+
Fis,glnQ,-
IHF,glnQ,+
NtrC,glnQ,+
NtrC,glnQ,-
Fis,glnU,+
Fis,glnV,+
Fis,glnW,+
Fis,glnX,+
NemR,gloA,-
RutR,gloA,-
ArcA,glpA,-
CRP,glpA,+
Fis,glpA,+
FlhDC,glpA,+
FNR,glpA,+
GlpR,glpA,-
ArcA,glpB,-
CRP,glpB,+
Fis,glpB,+
FlhDC,glpB,+
FNR,glpB,+
GlpR,glpB,-
ArcA,glpC,-
CRP,glpC,+
Fis,glpC,+
FlhDC,glpC,+
FNR,glpC,+
GlpR,glpC,-
ArcA,glpD,-
CRP,glpD,+
GlpR,glpD,-
CRP,glpE,+
CRP,glpF,+
GlpR,glpF,-
CRP,glpG,+
CRP,glpK,+
GlpR,glpK,-
CRP,glpQ,+
Fis,glpQ,+
FNR,glpQ,+
GlpR,glpQ,-
IHF,glpQ,-
CRP,GlpR,+
CRP,glpT,+
Fis,glpT,+
FNR,glpT,+
GlpR,glpT,-
IHF,glpT,-
CRP,glpX,+
GlpR,glpX,-
ArcA,gltA,-
CRP,gltA,+
IHF,gltA,+
AdiY,gltB,+
ArgR,gltB,-
CRP,gltB,-
FNR,gltB,-
Fur,gltB,-
GadE,gltB,+
HdfR,gltB,+
IHF,gltB,+
Lrp,gltB,+
Nac,gltB,-
AdiY,gltD,+
ArgR,gltD,-
CRP,gltD,-
FNR,gltD,-
Fur,gltD,-
GadE,gltD,+
HdfR,gltD,+
IHF,gltD,+
Lrp,gltD,+
Nac,gltD,-
AdiY,gltF,+
ArgR,gltF,-
CRP,gltF,-
FNR,gltF,-
Fur,gltF,-
GadE,gltF,+
HdfR,gltF,+
IHF,gltF,+
Lrp,gltF,+
Nac,gltF,-
FlhDC,gltI,+
FlhDC,gltJ,+
FlhDC,gltK,+
FlhDC,gltL,+
Fis,gltT,+
H-NS,gltT,-
Lrp,gltT,-
Fis,gltU,+
H-NS,gltU,-
Lrp,gltU,-
Fis,gltV,+
Lrp,gltV,-
Fis,gltW,+
H-NS,gltW,-
Lrp,gltW,-
Fis,gltX,-
AllR,glxK,-
AllR,glxR,-
MetR,glyA,+
PurR,glyA,-
Fis,glyT,+
Fis,glyU,+
FNR,gnd,-
Fur,gnd,-
GadE,gnd,+
CRP,gntK,+
GntR,gntK,-
IdnR,gntK,-
CRP,gntP,+
OxyR,gntP,-
UxuR,gntP,-
CRP,gntT,+
GntR,gntT,-
CRP,gntU,+
GntR,gntU,-
IdnR,gntU,-
CRP,gntX,+
GntR,gntX,-
OxyR,gor,+
Fur,gpmA,-
Cra,gpmM,-
CRP,gpsA,+
ArcA,grcA,+
CRP,grcA,+
Fis,grcA,+
FNR,grcA,-
Fur,grcA,-
PdhR,grcA,-
CRP,grpE,+
OxyR,grxA,+
NsrR,grxD,-
H-NS,gspA,-
H-NS,gspB,-
Fur,gspC,-
H-NS,gspC,-
Fur,gspD,-
H-NS,gspD,-
Fur,gspE,-
H-NS,gspE,-
Fur,gspF,-
H-NS,gspF,-
Fur,gspG,-
H-NS,gspG,-
Fur,gspH,-
H-NS,gspH,-
Fur,gspI,-
H-NS,gspI,-
Fur,gspJ,-
H-NS,gspJ,-
Fur,gspK,-
H-NS,gspK,-
Fur,gspL,-
H-NS,gspL,-
Fur,gspM,-
H-NS,gspM,-
Fur,gspO,-
H-NS,gspO,-
CRP,guaA,+
DnaA,guaA,-
Fis,guaA,-
PurR,guaA,-
CRP,guaB,+
DnaA,guaB,-
Fis,guaB,-
PurR,guaB,-
CdaR,gudD,+
CdaR,gudP,+
CdaR,gudX,+
CRP,GutM,+
GutR,GutM,-
H-NS,GutM,+
CRP,gutQ,+
GutM,gutQ,+
GutR,gutQ,-
H-NS,gutQ,+
CRP,gyrA,+
CspA,gyrA,+
Fis,gyrA,-
Fis,gyrB,-
HcaR,hcaB,+
HcaR,hcaC,+
HcaR,hcaD,+
HcaR,hcaE,+
HcaR,hcaF,+
H-NS,hchA,-
FNR,hcp,+
NarL,hcp,+
NarP,hcp,+
NsrR,hcp,-
OxyR,hcp,+
FNR,hcr,+
NarL,hcr,+
NarP,hcr,+
NsrR,hcr,-
OxyR,hcr,+
FliZ,hdeA,-
GadE,hdeA,+
H-NS,hdeA,-
Lrp,hdeA,-
MarA,hdeA,-
PhoP,hdeA,+
RcsB,hdeA,+
TorR,hdeA,+
FliZ,hdeB,-
GadE,hdeB,+
H-NS,hdeB,-
Lrp,hdeB,-
MarA,hdeB,-
PhoP,hdeB,+
RcsB,hdeB,+
TorR,hdeB,+
GadE,hdeD,+
GadX,hdeD,+
H-NS,hdeD,-
PhoP,hdeD,+
RcsB,hdeD,+
H-NS,HdfR,-
ArcA,hemA,+
FNR,hemA,-
IHF,hemA,+
IHF,hemF,-
OxyR,hemH,+
FliA,hemL,+
PdhR,hemL,-
PhoP,hemL,+
CRP,hflC,-
PurR,hflD,-
CRP,hflK,-
CRP,hflX,-
CRP,hfq,-
BasR,hha,+
CpxR,hha,+
PdhR,hha,-
HipAB,hipA,-
HipB,hipA,-
IHF,hipA,+
HipAB,HipB,-
IHF,HipB,+
ArgR,hisJ,-
H-NS,hisJ,+
NtrC,hisJ,+
ArgR,hisM,-
H-NS,hisM,+
NtrC,hisM,+
ArgR,hisP,-
H-NS,hisP,+
NtrC,hisP,+
ArgR,hisQ,-
H-NS,hisQ,+
NtrC,hisQ,+
Fis,hisR,+
CRP,hlyE,+
Fis,hlyE,-
FNR,hlyE,+
SlyA,hlyE,+
FNR,hmp,-
Fur,hmp,-
MetR,hmp,+
NsrR,hmp,-
CspA,hns,+
Fis,hns,+
GadX,hns,+
H-NS,hns,-
CRP,hofB,+
CRP,hofC,+
CRP,hofM,+
CRP,hofN,+
CRP,hofO,+
CRP,hofP,+
RelB,hokD,-
RelB-RelE,hokD,-
LexA,hokE,-
CRP,hpt,+
IHF,hpt,-
CysB,hslJ,-
AscG,htpG,-
IHF,htrE,+
CRP,hupA,+
Fis,hupA,+
CRP,hupB,+
Fis,hupB,-
AppY,hyaA,+
ArcA,hyaA,+
Fis,hyaA,-
IscR,hyaA,-
NarL,hyaA,-
NarP,hyaA,-
YdeO,hyaA,+
AppY,hyaB,+
ArcA,hyaB,+
Fis,hyaB,-
IscR,hyaB,-
NarL,hyaB,-
NarP,hyaB,-
YdeO,hyaB,+
AppY,hyaC,+
ArcA,hyaC,+
Fis,hyaC,-
IscR,hyaC,-
NarL,hyaC,-
NarP,hyaC,-
YdeO,hyaC,+
AppY,hyaD,+
ArcA,hyaD,+
Fis,hyaD,-
IscR,hyaD,-
NarL,hyaD,-
NarP,hyaD,-
YdeO,hyaD,+
AppY,hyaE,+
ArcA,hyaE,+
Fis,hyaE,-
IscR,hyaE,-
NarL,hyaE,-
NarP,hyaE,-
YdeO,hyaE,+
AppY,hyaF,+
ArcA,hyaF,+
Fis,hyaF,-
IscR,hyaF,-
NarL,hyaF,-
NarP,hyaF,-
YdeO,hyaF,+
ArcA,hybA,-
NarL,hybA,-
ArcA,hybB,-
NarL,hybB,-
ArcA,hybC,-
NarL,hybC,-
ArcA,hybD,-
NarL,hybD,-
ArcA,hybE,-
NarL,hybE,-
ArcA,hybF,-
NarL,hybF,-
ArcA,hybG,-
NarL,hybG,-
ArcA,hybO,-
NarL,hybO,-
FhlA,hycA,+
IHF,hycA,+
ModE,hycA,+
NsrR,hycA,-
FhlA,hycB,+
IHF,hycB,+
ModE,hycB,+
NsrR,hycB,-
FhlA,hycC,+
IHF,hycC,+
ModE,hycC,+
NsrR,hycC,-
FhlA,hycD,+
IHF,hycD,+
ModE,hycD,+
NsrR,hycD,-
FhlA,hycE,+
IHF,hycE,+
ModE,hycE,+
NsrR,hycE,-
FhlA,hycF,+
IHF,hycF,+
ModE,hycF,+
NsrR,hycF,-
FhlA,hycG,+
IHF,hycG,+
ModE,hycG,+
NsrR,hycG,-
FhlA,hycH,+
IHF,hycH,+
ModE,hycH,+
NsrR,hycH,-
FhlA,hycI,+
IHF,hycI,+
ModE,hycI,+
NsrR,hycI,-
FhlA,hydN,+
FlhDC,hydN,+
CRP,hyfA,+
FhlA,hyfA,+
FNR,hyfA,-
HyfR,hyfA,+
CRP,hyfB,+
FhlA,hyfB,+
FNR,hyfB,-
HyfR,hyfB,+
CRP,hyfC,+
FhlA,hyfC,+
FNR,hyfC,-
HyfR,hyfC,+
CRP,hyfD,+
FhlA,hyfD,+
FNR,hyfD,-
HyfR,hyfD,+
CRP,hyfE,+
FhlA,hyfE,+
FNR,hyfE,-
HyfR,hyfE,+
CRP,hyfF,+
FhlA,hyfF,+
FNR,hyfF,-
HyfR,hyfF,+
CRP,hyfG,+
FhlA,hyfG,+
FNR,hyfG,-
HyfR,hyfG,+
CRP,hyfH,+
FhlA,hyfH,+
FNR,hyfH,-
HyfR,hyfH,+
CRP,hyfI,+
FhlA,hyfI,+
FNR,hyfI,-
HyfR,hyfI,+
CRP,hyfJ,+
FhlA,hyfJ,+
FNR,hyfJ,-
HyfR,hyfJ,+
CRP,HyfR,+
FhlA,HyfR,+
FNR,HyfR,-
AllR,hyi,-
FhlA,hypA,+
IHF,hypA,+
NsrR,hypA,-
FhlA,hypB,+
FNR,hypB,+
IHF,hypB,+
NsrR,hypB,-
FhlA,hypC,+
FNR,hypC,+
IHF,hypC,+
NsrR,hypC,-
FhlA,hypD,+
FNR,hypD,+
IHF,hypD,+
NsrR,hypD,-
FhlA,hypE,+
FNR,hypE,+
IHF,hypE,+
NsrR,hypE,-
Cra,hypF,-
FhlA,hypF,+
FlhDC,hypF,+
MlrA,ibaG,+
IHF,ibpB,+
ArcA,icd,-
Cra,icd,+
FadR,IclR,+
CRP,idnD,+
GntR,idnD,-
IdnR,idnD,+
CRP,idnK,+
GntR,idnK,-
IdnR,idnK,+
CRP,idnO,+
GntR,idnO,-
IdnR,idnO,+
CRP,IdnR,+
GntR,IdnR,-
CRP,idnT,+
GntR,idnT,-
IdnR,idnT,+
IHF,ihfA,-
NsrR,ihfA,-
IHF,ihfB,-
Fis,ileT,+
Lrp,ileT,-
Fis,ileU,+
H-NS,ileU,-
Lrp,ileU,-
Fis,ileV,+
H-NS,ileV,-
Lrp,ileV,-
IHF,ilvA,+
IHF,ilvA,-
Lrp,ilvA,-
CRP,ilvB,+
IlvY,ilvC,+
IHF,ilvD,+
IHF,ilvD,-
Lrp,ilvD,-
IHF,ilvE,+
IHF,ilvE,-
Lrp,ilvE,-
IHF,ilvG_1,+
IHF,ilvG_1,-
Lrp,ilvG_1,-
IHF,ilvG_2,-
IHF,ilvG_2,+
Lrp,ilvG_2,-
H-NS,ilvH,-
Lrp,ilvH,+
Lrp,ilvH,-
H-NS,ilvI,-
Lrp,ilvI,+
Lrp,ilvI,-
IHF,ilvL,+
IHF,ilvL,-
Lrp,ilvL,-
IHF,ilvM,+
IHF,ilvM,-
Lrp,ilvM,-
CRP,ilvN,+
IHF,ilvX,-
IHF,ilvX,+
Lrp,ilvX,-
MarA,inaA,+
Rob,inaA,+
SoxS,inaA,+
ArgR,infB,-
CRP,infB,-
Fis,infB,+
NsrR,infC,-
DicA,insD,-
LexA,insK,-
DicA,intQ,-
FNR,iraD,+
ArcA,iraM,+
FNR,iraM,+
PhoP,iraM,+
CsgD,iraP,+
IscR,iscA,-
IscR,iscS,-
IscR,iscU,-
FliA,ispE,+
OxyR,isrC,-
CRP,ivbL,+
Fis,katE,-
Fur,katE,+
FNR,katG,+
Fur,katG,+
OxyR,katG,+
AgaR,kbaY,-
AgaR,kbaZ,-
CRP,kbaZ,+
Lrp,kbl,+
KdpE,kdpA,+
KdpE,kdpB,+
KdpE,kdpC,+
KdpE,kdpF,+
CRP,lacA,+
CRP,lacA,-
H-NS,lacA,-
LacI,lacA,-
CRP,LacI,+
CRP,lacY,+
CRP,lacY,-
H-NS,lacY,-
LacI,lacY,-
CRP,lacZ,+
CRP,lacZ,-
H-NS,lacZ,-
LacI,lacZ,-
CRP,lamB,+
MalT,lamB,+
CRP,ldtB,-
Rob,ldtB,+
CpxR,ldtC,+
LeuO,leuA,+
LeuO,leuB,+
LeuO,leuC,+
LeuO,leuD,+
Lrp,leuE,-
LeuO,leuL,+
H-NS,LeuO,-
RcsB-BglJ,LeuO,+
StpA,LeuO,-
Fis,leuP,+
Fis,leuQ,+
Fis,leuT,+
Fis,leuV,+
Fis,leuW,+
Fis,leuX,+
UxuR,lgoR,-
CRP,lhgO,+
CsiR,lhgO,-
H-NS,lhgO,+
Lrp,lhgO,+
Lrp,livF,-
Lrp,livG,-
Lrp,livH,-
Lrp,livJ,-
Lrp,livK,-
Lrp,livM,-
ArcA,lldD,-
LldR,lldD,-
LldR,lldD,+
ArcA,lldP,-
LldR,lldP,-
LldR,lldP,+
ArcA,LldR,-
RcsB,lolA,+
FliA,lolB,+
GadX,lon,+
ArcA,lpd,-
Cra,lpd,-
CRP,lpd,-
CRP,lpd,+
Fis,lpd,+
PdhR,lpd,-
CpxR,lpxA,+
GadE,lpxA,+
LexA,lpxC,-
MraZ,lpxC,-
PdhR,lpxC,-
CpxR,lpxD,+
GadE,lpxD,+
GadE,Lrp,+
H-NS,Lrp,-
NsrR,Lrp,-
CRP,lsrA,+
LsrR,lsrA,-
CRP,lsrB,+
LsrR,lsrB,-
CRP,lsrC,+
LsrR,lsrC,-
CRP,lsrD,+
LsrR,lsrD,-
CRP,lsrF,+
LsrR,lsrF,-
CRP,lsrG,+
LsrR,lsrG,-
CRP,lsrK,+
LsrR,lsrK,-
CRP,LsrR,+
ArgP,lysA,+
LysR,lysA,+
ArgP,lysC,+
ArgR,lysO,-
ArgP,lysP,+
Lrp,lysP,+
Fis,lysT,+
Lrp,lysU,-
Fis,lysV,+
Fis,lysW,+
CRP,lyxK,+
IHF,lyxK,+
YiaJ,lyxK,-
CreB,malE,-
CRP,malE,+
Fis,malE,+
MalT,malE,+
CreB,malF,-
CRP,malF,+
Fis,malF,+
MalT,malF,+
CreB,malG,-
CRP,malG,+
Fis,malG,+
MalT,malG,+
CRP,MalI,+
CRP,MalI,-
CRP,malK,+
MalT,malK,+
CRP,malM,+
MalT,malM,+
FNR,malP,+
MalT,malP,+
FNR,malQ,+
MalT,malQ,+
CRP,malS,+
MalT,malS,+
PhoP,malS,+
CRP,MalT,+
Lrp,MalT,+
Mlc,MalT,-
CRP,malX,+
MalI,malX,-
CRP,malY,+
MalI,malY,-
MalT,malZ,+
CRP,manA,+
CRP,manA,-
Cra,manX,-
CRP,manX,+
Mlc,manX,-
NagC,manX,-
Cra,manY,-
CRP,manY,+
Mlc,manY,-
NagC,manY,-
Cra,manZ,-
CRP,manZ,+
Mlc,manZ,-
NagC,manZ,-
AcrR,MarA,-
CpxR,MarA,+
Cra,MarA,-
CRP,MarA,+
Fis,MarA,+
MarR,MarA,-
Rob,MarA,+
SoxS,MarA,+
AcrR,marB,-
CpxR,marB,+
Cra,marB,-
CRP,marB,+
Fis,marB,+
MarA,marB,+
MarR,marB,-
Rob,marB,+
SoxS,marB,+
AcrR,MarR,-
CpxR,MarR,+
Cra,MarR,-
CRP,MarR,+
Fis,MarR,+
MarA,MarR,+
Rob,MarR,+
SoxS,MarR,+
CRP,MazE,+
Fis,MazE,+
HipAB,MazE,-
HipB,MazE,-
H-NS,MazE,+
MazE-MazF,MazE,-
CRP,mazF,+
Fis,mazF,+
HipAB,mazF,-
HipB,mazF,-
H-NS,mazF,+
MazE,mazF,-
MazE-MazF,mazF,-
Fis,mazG,+
MazE,mazG,-
MazE-MazF,mazG,-
CRP,mcaS,+
McbR,mcbA,-
ArcA,mdh,-
CRP,mdh,+
DpiA,mdh,+
FlhDC,mdh,-
BaeR,mdtA,+
CpxR,mdtA,+
BaeR,mdtB,+
CpxR,mdtB,+
BaeR,mdtC,+
CpxR,mdtC,+
BaeR,mdtD,+
CpxR,mdtD,+
CRP,mdtE,-
EvgA,mdtE,+
FliZ,mdtE,-
GadE,mdtE,+
GadW,mdtE,+
GadX,mdtE,+
H-NS,mdtE,-
YdeO,mdtE,+
CRP,mdtF,-
EvgA,mdtF,+
FliZ,mdtF,-
GadE,mdtF,+
GadW,mdtF,+
GadX,mdtF,+
H-NS,mdtF,-
YdeO,mdtF,+
CRP,melA,+
MelR,melA,-
MelR,melA,+
CRP,melB,+
MelR,melB,-
MelR,melB,+
CRP,MelR,+
NsrR,mepH,-
MetJ,metA,-
HypT,metB,+
MetJ,metB,-
PhoP,metB,+
MetJ,metC,-
MetJ,metE,-
MetR,metE,+
MetJ,metF,-
Fur,metH,-
MetR,metH,+
HypT,metI,+
MetJ,metI,-
Fur,MetJ,-
CRP,metK,-
MetJ,metK,-
HypT,metL,+
MetJ,metL,-
PhoP,metL,+
HypT,metN,+
MetJ,metN,-
HypT,metQ,+
MetJ,metQ,-
MetJ,MetR,-
Fis,metT,+
Fis,metU,+
ArgR,metY,-
CRP,metY,-
Fis,metY,+
CRP,mglA,+
Fis,mglA,-
FlhDC,mglA,-
GalR,mglA,-
GalS,mglA,-
CRP,mglB,+
FlhDC,mglB,-
GalR,mglB,-
GalS,mglB,-
CRP,mglC,+
Fis,mglC,-
FlhDC,mglC,-
GalR,mglC,-
GalS,mglC,-
PhoP,mgrB,+
PhoP,mgrR,+
PhoP,mgtA,+
PhoP,mgtL,+
CRP,mhpA,+
MhpR,mhpA,+
CRP,mhpB,+
MhpR,mhpB,+
CRP,mhpC,+
MhpR,mhpC,+
CRP,mhpD,+
MhpR,mhpD,+
CRP,mhpE,+
MhpR,mhpE,+
CRP,mhpF,+
MhpR,mhpF,+
CRP,MhpR,+
NsrR,mhpT,-
AcrR,micF,-
H-NS,micF,-
HU,micF,+
IHF,micF,-
Lrp,micF,-
MarA,micF,+
OmpR,micF,+
Rob,micF,+
SoxS,micF,+
AsnC,mioC,-
MraZ,mioC,-
Nac,mioC,-
PhoB,mipA,+
CRP,Mlc,+
CRP,Mlc,-
FliZ,MlrA,-
Rob,mltF,+
MngR,mngA,-
MngR,mngB,-
AsnC,mnmG,-
Nac,mnmG,-
Fur,mntH,-
MntR,mntH,-
OxyR,mntH,+
Fur,mntP,+
MntR,mntP,+
MntR,mntS,-
CueR,moaA,-
FNR,moaA,+
ModE,moaA,+
CueR,moaB,-
FNR,moaB,+
ModE,moaB,+
CueR,moaC,-
FNR,moaC,+
ModE,moaC,+
CueR,moaD,-
FNR,moaD,+
ModE,moaD,+
CueR,moaE,-
FNR,moaE,+
ModE,moaE,+
CRP,modA,+
FliA,modA,+
ModE,modA,-
CRP,modB,+
FliA,modB,+
ModE,modB,-
CRP,modC,+
FliA,modC,+
ModE,modC,-
ArcA,moeA,+
FNR,moeA,-
NarL,moeA,+
ArcA,moeB,+
FNR,moeB,-
NarL,moeB,+
LexA,molR_1,-
RcsB-BglJ,molR_1,+
CpxR,motA,-
FliA,motA,+
CpxR,motB,-
FliA,motB,+
PgrR,mpaA,-
Cra,mpl,-
CRP,mpl,+
MqsA,mqsR,-
LexA,mraY,-
MraZ,mraY,-
PdhR,mraY,-
PdhR,MraZ,-
CpxR,mscM,-
Fis,msrA,-
Cra,mtlA,-
CRP,mtlA,+
Fis,mtlA,-
MtlR,mtlA,-
Cra,mtlD,-
CRP,mtlD,+
Fis,mtlD,-
MtlR,mtlD,-
Cra,MtlR,-
CRP,MtlR,+
Fis,MtlR,-
HU,mtr,-
IHF,mtr,-
TrpR,mtr,-
TyrR,mtr,+
H-NS,mukB,+
H-NS,mukE,+
H-NS,mukF,+
LexA,murC,-
MraZ,murC,-
PdhR,murC,-
LexA,murD,-
MraZ,murD,-
PdhR,murD,-
LexA,murE,-
MraZ,murE,-
PdhR,murE,-
LexA,murF,-
MraZ,murF,-
PdhR,murF,-
LexA,murG,-
MraZ,murG,-
PdhR,murG,-
GadX,murI,-
CRP,murP,+
MurR,murP,-
CRP,murQ,+
MurR,murQ,-
CpxR,mzrA,+
FNR,Nac,-
Fur,Nac,-
NtrC,Nac,+
NadR,nadA,-
NadR,nadB,-
CRP,nadC,+
NagC,nagA,-
PhoP,nagA,+
NagC,nagB,-
NagC,nagE,-
CRP,nanA,+
Fis,nanA,-
NanR,nanA,-
CRP,nanC,+
NagC,nanC,-
NanR,nanC,-
CRP,nanE,+
Fis,nanE,-
NanR,nanE,-
CRP,nanK,+
Fis,nanK,-
NanR,nanK,-
CRP,nanM,+
NagC,nanM,-
NanR,nanM,-
CRP,nanS,+
NagC,nanS,-
NanR,nanS,-
CRP,nanT,+
Fis,nanT,-
NanR,nanT,-
FlhDC,napA,+
FNR,napA,+
IscR,napA,-
ModE,napA,+
NarL,napA,-
NarP,napA,+
NarP,napA,-
FlhDC,napB,+
FNR,napB,+
IscR,napB,-
ModE,napB,+
NarL,napB,-
NarP,napB,+
NarP,napB,-
FlhDC,napC,+
FNR,napC,+
IscR,napC,-
ModE,napC,+
NarL,napC,-
NarP,napC,+
NarP,napC,-
FlhDC,napD,+
FNR,napD,+
IscR,napD,-
ModE,napD,+
NarL,napD,-
NarP,napD,-
NarP,napD,+
FlhDC,napF,+
FNR,napF,+
IscR,napF,-
ModE,napF,+
NarL,napF,-
NarP,napF,-
NarP,napF,+
FlhDC,napG,+
FNR,napG,+
IscR,napG,-
ModE,napG,+
NarL,napG,-
NarP,napG,-
NarP,napG,+
FlhDC,napH,+
FNR,napH,+
IscR,napH,-
ModE,napH,+
NarL,napH,-
NarP,napH,-
NarP,napH,+
Fis,narG,-
FNR,narG,+
IHF,narG,+
NarL,narG,+
RstA,narG,+
Fis,narH,-
FNR,narH,+
IHF,narH,+
NarL,narH,+
RstA,narH,+
Fis,narI,-
FNR,narI,+
IHF,narI,+
NarL,narI,+
RstA,narI,+
Fis,narJ,-
FNR,narJ,+
IHF,narJ,+
NarL,narJ,+
RstA,narJ,+
Fis,narK,-
FNR,narK,+
IHF,narK,+
NarL,narK,+
FNR,NarL,-
ModE,NarL,+
CRP,narQ,-
FNR,narX,-
ModE,narX,+
ArcA,ndh,-
Fis,ndh,+
Fis,ndh,-
FNR,ndh,-
Fur,ndh,-
IHF,ndh,-
NsrR,ndh,-
PdhR,ndh,-
NemR,nemA,-
RutR,nemA,-
RutR,NemR,-
MarA,nfo,+
Rob,nfo,+
SoxS,nfo,+
MarA,nfsA,+
OxyR,nfsA,-
Rob,nfsA,+
SoxS,nfsA,+
MarA,nfsB,+
Rob,nfsB,+
SoxS,nfsB,+
CRP,nfuA,+
GntR,nfuA,-
IscR,nfuA,-
H-NS,nhaA,-
NhaR,nhaA,+
H-NS,NhaR,-
FNR,nikA,+
NarL,nikA,-
NikR,nikA,-
FNR,nikB,+
NarL,nikB,-
NikR,nikB,-
FNR,nikC,+
NarL,nikC,-
NikR,nikC,-
FNR,nikD,+
NarL,nikD,-
NikR,nikD,-
FNR,nikE,+
NarL,nikE,-
NikR,nikE,-
FNR,NikR,+
NarL,NikR,-
NimR,nimT,-
Cra,nirB,-
CRP,nirB,-
Fis,nirB,-
FNR,nirB,+
H-NS,nirB,-
IHF,nirB,-
IHF,nirB,+
NarL,nirB,+
NarP,nirB,+
Cra,nirC,-
CRP,nirC,-
Fis,nirC,-
FNR,nirC,+
