Essential Genes
accA
AccB
accC
accD
aceF
acpP
acpS
adk
alaS
alsK
apaH
araA
araB
argA
argB
argC
argD
argE
argG
argH
argS
argU
argX
ariR
aroA
aroB
aroC
aroD
aroK
arrS
asd
asnS
aspC
aspS
atpA
atpB
atpD
atpE
atpF
atpG
atpH
bamA
bamD
bcsB
BirA
can
carA
carB
cca
cdsA
chpS
cmoA
cmoB
coaA
coaD
coaE
cohE
CRP
cspI
csrA
cydA
cydC
cydX
CysB
cysC
cysD
cysE
cysH
cysI
cysJ
cysN
cysQ
cysS
cysT
dapA
dapB
dapD
dapE
dapF
def
degS
der
dfp
DicA
dicC
DnaA
dnaB
dnaC
dnaE
dnaG
dnaJ
dnaK
dnaN
dnaT
dnaX
dusA
dut
dxr
dxs
efp
eno
entD
era
erpA
fabA
fabB
fabD
fabG
fabH
fabI
fabZ
fbaA
fepB
fepC
fepD
fepG
ffh
ffs
fldA
fmt
fnrS
folA
folB
folC
folD
folE
folK
folP
frr
ftsA
ftsB
ftsE
ftsH
ftsI
ftsK
ftsL
ftsN
ftsQ
ftsW
ftsX
ftsY
ftsZ
fusA
gapA
gatB
glgA
glgC
glmM
glmS
glmU
glnA
glnS
gltA
gltX
glyA
glyQ
glyS
glyT
gmk
gnsB
gpsA
greA
greB
groL
groS
grpE
guaA
guaB
gyrA
gyrB
hda
hemA
hemB
hemC
hemD
hemE
hemG
hemH
hemK
hemL
higA
HipB
hisA
hisB
hisC
hisD
hisF
hisG
hisH
hisI
hisR
hisS
hldD
hldE
hlyE
holA
holB
holC
holD
holE
hsdR
icd
icdC
ileS
ilvA
ilvC
ilvD
ilvE
ilvX
imp
infA
infB
infC
iraM
iroK
iscS
ispA
ispB
ispD
ispE
ispF
ispG
ispH
ispU
kdsA
kdsB
kdsC
kdtA
kilR
ldrB
lepB
leuA
leuB
leuC
leuD
leuS
leuU
leuW
leuZ
LexA
lgt
ligA
lipA
lipB
lnt
lolA
lolB
lolC
lolD
lolE
lpd
lptA
lptB
lptC
lptD
lptE
lptF
lptG
lpxA
lpxB
lpxC
lpxD
lpxH
lpxK
lpxL
lspA
luxS
lysA
lysS
map
MazE
metA
metB
metE
metF
metG
metK
MetR
mfd
miaA
miaB
minD
minE
mnmA
mnmC
mnmE
mnmG
MqsA
mraY
mrdA
mrdB
mreB
mreC
mreD
mrsA
msbA
mtn
mukB
mukE
mukF
murA
murB
murC
murD
murE
murF
murG
murI
murJ
mviN
nadD
nadE
nadK
nrdA
nrdB
nusA
nusB
nusG
obgE
ogrK
orn
parC
parE
pdxA
pdxB
pdxH
pdxJ
pgk
pgsA
pheA
pheM
pheS
pheT
plsB
plsC
pnp
polA
ppa
ppc
prfA
prfB
priA
priB
prmC
proA
proB
proC
proL
proM
proS
prs
prsA
psd
pssA
pth
ptsH
ptsI
purA
purB
purC
purD
purE
purF
purH
purK
purL
purM
pyrB
pyrC
pyrE
pyrF
pyrG
pyrH
queA
queC
queD
queF
racR
rbfA
rcbA
rhaA
rhaB
rhlB
rho
ribA
ribB
ribC
ribD
ribE
ribF
rimM
rimN
rlmB
rlmC
rlmD
rlmE
rlmF
rlmG
rlmH
rlmI
rlmL
rlmM
rlmN
rlpB
rluA
rluB
rluC
rluD
rluE
rluF
rnc
rne
rng
rnpA
rnpB
rnt
rpe
rpiA
rplA
rplB
rplC
rplD
rplE
rplF
rplI
rplJ
rplK
rplL
rplM
rplN
rplO
rplP
rplQ
rplR
rplS
rplT
rplU
rplV
rplW
rplX
rplY
rpmA
rpmB
rpmC
rpmD
rpmE
rpmF
rpmG
rpmH
rpmI
rpmJ
rpoA
rpoB
rpoC
rpoD
rpoE
rpoH
rpoS
rpoZ
rpsA
rpsB
rpsC
rpsD
rpsE
rpsF
rpsG
rpsH
rpsI
rpsJ
rpsK
rpsL
rpsM
rpsN
rpsO
rpsP
rpsQ
rpsR
rpsS
rpsT
rpsU
rrmA
rseP
rseX
rsmA
rsmB
rsmC
rsmD
rsmE
rsmF
rsmG
rsmI
rsuA
rydB
rydC
safA
sdsR
secA
secB
secD
secE
secF
secM
secY
serA
serB
serC
serS
serT
serV
sirA
spoT
sra
ssb
sucA
sucB
suhB
tadA
tdcF
tff
tgt
thiG
thiH
thiI
thiL
thrA
thrB
thrC
thrS
thrU
thyA
tig
tilS
tmcA
tmk
tnaB
tonB
topA
tpiA
trmA
trmD
trmH
trmI
trmJ
trpA
trpB
trpC
trpD
trpE
trpL
trpS
trpT
truA
truB
truC
truD
tsaB
tsaC
tsaD
tsaE
tsf
ttcA
ttcC
tyrA
tyrS
ubiA
ubiB
ubiD
ubiE
ubiG
ubiX
valS
waaA
waaU
wzyE
yacA
yacE
yadF
yadR
yaeL
yaeT
yafN
yagG
ybbC
ybfC
yccK
yceQ
ycfB
yciB
yciG
yciM
ydaE
ydcD
yddL
YdeO
ydeT
ydfB
ydiE
ydiL
yeaZ
yedN
YefM
yehC
yehD
yejM
yfaH
yfbN
yffS
yfiC
yfiO
yfjA
yfjB
ygeF
ygeG
ygeK
ygeN
ygfZ
ygiG
ygjD
yhbG
yhbN
yhbV
yheL
yheM
yheN
yhhQ
yidC
yihA
yjbL
yjbM
yjbS
yjeE
yjeQ
yjeS
yjgP
yjgQ
yjhB
ykfM
ykgR
ymfD
ymfE
ymgC
ymiB
ymjD
ynbG
yncJ
yoaI
yobI
ypaA
yqcG
yqeJ
yqgF
yrbI
yrbK
yrdC
yrfF
zipA
